Шлях до файлу,Справжній клас,Розпізнаний клас
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cavallo/OIP-RFVBQDdV32kcr66WauPPOAHaMW.jpeg,cavallo,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cane/OIP-pJtxad2fLHi2Agw677dueQHaEA.jpeg,cane,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/mucca/OIP-vzUk2n8IreT80FoKiSWX6QHaEL.jpeg,mucca,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cane/OIP-YMItUZcrTp-yvVD_FnLVigHaFj.jpeg,cane,pecora
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cane/OIP-QL1_0pt2OBMWAm8TVHcn-AHaFj.jpeg,cane,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/gallina/573.jpeg,gallina,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/scoiattolo/OIP-H_13v63XAeEANHDc6PyPHwHaKD.jpeg,scoiattolo,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cane/OIP-ptb3J0qnyKS0Wtt7cnAZoAHaEK.jpeg,cane,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/gatto/1573.jpeg,gatto,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/gallina/OIP-S8bjrZRD4nCWgig5nQsSEQHaFj.jpeg,gallina,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cavallo/OIP-l3WdA33viaIfIy_NCsvvFgHaE8.jpeg,cavallo,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cane/OIP-yqcuOBW2EiwbSTkVsn1vTwHaHa.jpeg,cane,pecora
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/mucca/OIP-TGK7Hz88VJA-76COa0xINAHaED.jpeg,mucca,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cavallo/OIP-N5UDFTE8qWPeVpSHN0qAWgHaC0.jpeg,cavallo,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/elefante/OIP-fDJmfi8S3t2jbP6E9ETwHQAAAA.jpeg,elefante,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-pjfGQbCUCFnabjlBwQRqWQHaG9.jpeg,ragno,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-giezsU3GG1RWMDUMIKZzaQHaFj.jpeg,ragno,pecora
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/mucca/OIP-86kp1q6ZdfZY-CQZ6QFSwgHaE8.jpeg,mucca,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/farfalla/ea36b90c2cf3053ed1584d05fb1d4e9fe777ead218ac104497f5c97faee9bdba_640.jpg,farfalla,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cane/OIP-NyRfjWeRkfgvVQvhVomoagHaFj.jpeg,cane,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-ZfpKmVO0DVFjREjxCETW9AHaEv.jpeg,ragno,scoiattolo
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cane/OIP-Db8DLdMOt3xa4vd4Bbhw3QHaIV.jpeg,cane,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-gqm68Df8moHky0S8MYHn_gHaGl.jpeg,ragno,ragno
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/gatto/1356.jpeg,gatto,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cane/OIP-fZIQnwmn-vDRbJhrm4A3RwHaJ4.jpeg,cane,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cane/OIP-6jjvOZ1vqA7TZbz1s-wglAHaL2.jpeg,cane,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/elefante/ea37b70b28f0003ed1584d05fb1d4e9fe777ead218ac104497f5c978a4efb4bb_640.jpg,elefante,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/gatto/ea36b60c2cf7083ed1584d05fb1d4e9fe777ead218ac104497f5c979aee4b1bf_640.jpg,gatto,scoiattolo
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cavallo/OIP-RaIILzWfVjE_aOyI20rXPwAAAA.jpeg,cavallo,cavallo
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-6xDgip4ju6n3oI04R5pE-gHaGS.jpeg,ragno,ragno
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-m26zxZO803fxYv-82eA98wHaFj.jpeg,ragno,ragno
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/gallina/OIP-KHcZZwSDjJUS4NkIaZ6-wAHaFJ.jpeg,gallina,pecora
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cavallo/OIP-ksyKhM8c3e-EBdUP9xAolgHaIF.jpeg,cavallo,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-7eDy3xBbvHSpsUFYrCWWHAHaE8.jpeg,ragno,ragno
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/gallina/OIP-d1er-aMJdSJ1IZeJ6fPdsQHaJE.jpeg,gallina,ragno
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cavallo/OIP-nCCtsGFrGHcgGT5JaxYW8QHaF7.jpeg,cavallo,elefante
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/gallina/OIP-jH8Oi1sqfMg8IGnVEXVKcgHaE8.jpeg,gallina,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cane/OIP-jA_cwGnd0_PsqgfC5Ijv2AHaJC.jpeg,cane,scoiattolo
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cane/OIP-IqOxs22GYwgpxajdG76u7QEsDh.jpeg,cane,cavallo
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/eb32b4082cfd093ed1584d05fb1d4e9fe777ead218ac104497f5c97ca5ecb3b9_640.jpg,ragno,ragno
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cane/OIP-5FZDmq050jjAL3mYkLEKGQHaFm.jpeg,cane,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-F3R7AG_h3xFDQGldVvQagQAAAA.jpeg,ragno,ragno
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-gW2qAMQpqVfTaqeObGYAXAAAAA.jpeg,ragno,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-YzTljtpKSBJZmQmdHOQ-OwHaLH.jpeg,ragno,gallina
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/scoiattolo/OIP-XqwdlRXhVZG6niIOcTkgEQHaGY.jpeg,scoiattolo,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cavallo/OIP-yTjhzk9bEA33_rJtS8VqAAHaGc.jpeg,cavallo,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cane/OIP-WioOCeH2RC2DoqjN5MNJOQHaEo.jpeg,cane,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/gatto/546.jpeg,gatto,ragno
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-Oah_NcxDPBObP38IpQekJgHaE7.jpeg,ragno,pecora
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/pecora/OIP-YenG4YuU1dBbEaRLp_AYugHaF2.jpeg,pecora,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/gallina/OIP-UyoNnt4-F-Lx0qW_9LsHUQHaGk.jpeg,gallina,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cane/OIP-K2IJLZ51b7jxUZ5BqbK8tQHaFj.jpeg,cane,cavallo
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/farfalla/OIP-6R-OHSA-zARTS0IrkMy62QHaFn.jpeg,farfalla,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cane/OIP-QDFTnKTTfra1VlmCra33WAHaFk.jpeg,cane,ragno
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/pecora/OIP-TVDTlKEBgay-UhCiqF6RsQHaJa.jpeg,pecora,pecora
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-fuHI86Y9ZxdSEGWi48OE-gEsEi.jpeg,ragno,ragno
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-QnpeVCHhj0GldUSLZu6BUwHaE8.jpeg,ragno,scoiattolo
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-xJUDJvNIqlH0bfn0vPg0jgHaE7.jpeg,ragno,ragno
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cane/OIP-mdGJTkpPHSOtJHurMZGwoAHaFj.jpeg,cane,cavallo
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/pecora/OIP-QNxV9kxnlXrV6dIbWPBXzQHaE5.jpeg,pecora,pecora
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/gatto/785.jpeg,gatto,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/pecora/OIP-mCNCJM9AN_XzBDJggCe7uQHaDU.jpeg,pecora,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/cane/OIP-MclH16nH_eC9GMklYBEFOwHaFj.jpeg,cane,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-V0t4KmWwOQkXwMDOm9jNqAHaEs.jpeg,ragno,gallina
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/pecora/OIP-tkppSqEC-mOxDliionZ4XgAAAA.jpeg,pecora,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/farfalla/OIP-bs1Au6L93FOzbJHrZvgxkAHaFX.jpeg,farfalla,cane
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/pecora/OIP-gq5AFmd3xARPbiAadxTnzQHaF0.jpeg,pecora,mucca
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/ragno/OIP-QrZDtkYlpz_dfmT_4x1yiAHaEt.jpeg,ragno,scoiattolo
/Users/viktorhryshchenko/Projects/design-neural-networks/lab04//raw-img/pecora/OIP-62lec-tV-ALjXHIQ53_AgAHaFT.jpeg,pecora,mucca
