epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,496.355,0.96662,2.06142,1.15577,1,0.52766,0.86739,0.60585,0.85933,2.96719,1.09979,0.000656566,0.000656566,0.000656566
2,983.509,1.04512,1.43012,1.19505,0.04733,0.17162,0.01987,0.0125,1.81139,17.2823,2.47148,0.0012359,0.0012359,0.0012359
3,1470.94,0.99184,1.13293,1.16255,0.84185,0.896,0.90921,0.64419,0.92457,1.81819,1.19442,0.00172723,0.00172723,0.00172723
4,1951.39,1.01378,0.97126,1.16672,0.94347,0.81848,0.89384,0.60624,1.15181,1.61842,1.27797,0.001604,0.001604,0.001604
5,2432.03,0.96531,0.82991,1.1457,0.97635,0.95371,0.97045,0.73821,0.82461,0.85155,1.06318,0.001472,0.001472,0.001472
6,2910.57,0.84489,0.71327,1.10802,0.98621,0.94445,0.98658,0.7629,0.7357,0.62926,1.03363,0.00134,0.00134,0.00134
7,3384.97,0.83996,0.6293,1.09732,0.97995,0.96779,0.98423,0.79287,0.71682,0.58993,1.00952,0.001208,0.001208,0.001208
8,3865.63,0.7849,0.56503,1.06778,0.98016,0.9785,0.98573,0.79261,0.73591,0.52585,1.01752,0.001076,0.001076,0.001076
9,4345.82,0.75296,0.51999,1.06302,0.97957,0.94951,0.98036,0.79527,0.6622,0.52684,1.00028,0.000944,0.000944,0.000944
10,4827.57,0.70329,0.46746,1.04109,0.97796,0.93399,0.97334,0.80279,0.64005,0.50738,1.00575,0.000812,0.000812,0.000812
11,5308.08,0.70052,0.45588,1.02997,0.98353,0.9571,0.98476,0.79993,0.64383,0.42785,0.99365,0.00068,0.00068,0.00068
12,5785.65,0.68596,0.43034,1.03315,0.99326,0.97289,0.98926,0.82785,0.59473,0.39896,0.96329,0.000548,0.000548,0.000548
13,6261.37,0.6186,0.40579,1.01051,0.98021,0.9809,0.98959,0.82279,0.58058,0.3686,0.97009,0.000416,0.000416,0.000416
14,6742.24,0.60739,0.389,0.99525,0.98835,0.9868,0.9945,0.84346,0.54501,0.34513,0.95559,0.000284,0.000284,0.000284
15,7222.85,0.58222,0.3578,0.98554,0.9821,0.9835,0.99238,0.85573,0.53736,0.33996,0.94679,0.000152,0.000152,0.000152
